MATRICULA;EMPRESA;TITULO DO CARGO;DESC. SITUACAO;Sindicato
35659;1410;DESENVOLVEDOR I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35680;1410;DESENVOLVEDOR I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35590;1410;DESENVOLVEDOR I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34946;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34534;1410;PRODUCT OWNER II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33774;1410;DESENVOLVEDOR I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34147;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35281;1410;ANALISTA DE NEGOCIOS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35524;1410;ANALISTA DE NEGOCIOS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
27792;1410;COORDENADOR DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35210;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35372;1410;GERENTE DE PROJETOS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35374;1410;ANALISTA DE DADOS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35379;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35749;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35754;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29083;1410;EXECUTIVO DE CONTAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25081;1410;EXECUTIVO DE CONTAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26322;1410;EXECUTIVO DE CONTAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29090;1410;EXECUTIVO DE CONTAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29087;1410;EXECUTIVO DE CONTAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24685;1410;EXECUTIVO DE CONTAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24820;1410;EXECUTIVO DE CONTAS ESPECIALISTA;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35500;1410;ASSISTENTE DE NEGOCIOS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32176;1410;ANALISTA DE NEGOCIOS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33295;1410;ASSISTENTE DE NEGOCIOS;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35526;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
